pfn,nr_pages,lru_type,memory_type,timestamp
0x10c95a,1,0,file,4296503802
0x10bb09,1,0,file,4296503802
0x10c86f,1,0,file,4296503802
0x10c8d4,1,0,file,4296503802
0x10c9c7,1,0,file,4296503802
0x10c862,1,0,file,4296503802
0x10c9f7,1,0,file,4296503802
0x10ca4a,1,0,file,4296503802
0x11985e,1,0,file,4296503802
0x115ef9,1,0,file,4296503802
0x11449f,1,0,file,4296503802
0x52eb,1,0,file,4296503802
0x4cc1,1,0,file,4296503802
0x41c55,1,0,file,4296503802
0x222db,1,0,file,4296503802
0x119287,1,0,file,4296503802
0x32363,1,0,file,4296503802
0x103ce6,1,0,file,4296503802
0x1145d3,1,0,file,4296503802
0x114ea1,1,0,file,4296503802
0x1148bc,1,0,file,4296503802
0x4b08d,1,0,file,4296503802
0x21f88,1,0,file,4296503802
0x20933,1,0,file,4296503802
0x20973,1,0,file,4296503802
0x209b3,1,0,file,4296503802
0x124db,1,0,file,4296503802
0x4713,1,0,file,4296503802
0x3a08,1,0,file,4296503802
0x12416,1,0,file,4296503802
0x3541,1,0,file,4296503802
0x4bf7,1,0,file,4296503802
0x208f8,1,0,file,4296503802
0x1240e,1,0,file,4296503802
0x4c91,1,0,file,4296503802
0x205a1,1,0,file,4296503802
0x32bd7,1,0,file,4296503802
0x119c15,1,0,file,4296503802
0x19628,1,0,file,4296503802
0x118c1c,1,0,file,4296503802
0x11a4f5,1,0,file,4296503802
0x11a67e,1,0,file,4296503802
0x115a49,1,0,file,4296503802
0x115a89,1,0,file,4296503802
0x110f50,1,0,file,4296503802
0x10a706,1,0,file,4296503802
0x1124a7,1,0,file,4296503802
0x10290a,1,0,file,4296503802
0x112554,1,0,file,4296503802
0x10200f,1,0,file,4296503802
0x113c94,1,0,file,4296503802
0x111615,1,0,file,4296503802
0x112faf,1,0,file,4296503802
0x3bee,1,0,file,4296503802
0x3a32,1,0,file,4296503802
0x119d3b,1,0,file,4296503802
0x11990d,1,0,file,4296503802
0x41c1,1,0,file,4296503802
0x10cb51,1,0,file,4296503802
0x10d934,1,0,file,4296503802
0x115fa1,1,0,file,4296503802
0x1171cc,1,0,file,4296503802
0x117453,1,0,file,4296503802
0x117817,1,0,file,4296503802
0x8ddb4,1,0,file,4296503802
0x8ddf4,1,0,file,4296503802
0xc1b34,1,0,file,4296503802
0xc1b74,1,0,file,4296503802
0xc1bb4,1,0,file,4296503802
0xc1bf4,1,0,file,4296503802
0x9e334,1,0,file,4296503802
0x90178,1,0,file,4296503802
0x901b8,1,0,file,4296503802
0x901f8,1,0,file,4296503802
0x98738,1,0,file,4296503802
0x98778,1,0,file,4296503802
0x987b8,1,0,file,4296503802
0x987f8,1,0,file,4296503802
0x8dd38,1,0,file,4296503802
0xa247c,1,0,file,4296503802
0xa24bc,1,0,file,4296503802
0xa24fc,1,0,file,4296503802
0xbdc3c,1,0,file,4296503802
0xbdc7c,1,0,file,4296503802
0xbdcbc,1,0,file,4296503802
0xbdcfc,1,0,file,4296503802
0x9013c,1,0,file,4296503802
0x8e9a0,1,0,file,4296503802
0x8e9e0,1,0,file,4296503802
0x92a20,1,0,file,4296503802
0x85f40,1,0,file,4296503802
0x85f80,1,0,file,4296503802
0x85fc0,1,0,file,4296503802
0xa2400,1,0,file,4296503802
0xa2440,1,0,file,4296503802
0x9aea4,1,0,file,4296503802
0x9aee4,1,0,file,4296503802
0xb3c24,1,0,file,4296503802
0xb3c64,1,0,file,4296503802
0xb3ca4,1,0,file,4296503802
