PID,COMM,VA,PFN,mapping,folio_index,start_ns,latency_ns
1752,pipewire-pulse,0x7029fa762000,0xd93ce,000000001d31c8a5,2,1.93355E+13,1903727
1752,pipewire-pulse,0x7029fa763000,0x6f0e3,000000001d31c8a5,3,1.93355E+13,1904734
1752,pipewire-pulse,0x7029fa764000,0x5dea6,000000001d31c8a5,4,1.93355E+13,1905744
1752,pipewire-pulse,0x7029fa765000,0xd7033,000000001d31c8a5,5,1.93355E+13,1906652
1752,pipewire-pulse,0x7029fa766000,0x41ce6,000000001d31c8a5,6,1.93355E+13,1907770
1752,pipewire-pulse,0x7029fa767000,0x3c18e,000000001d31c8a5,7,1.93355E+13,1908837
1752,pipewire-pulse,0x7029fa757000,0xc2c8e,000000002cffc64e,0,1.93355E+13,1929636
1752,pipewire-pulse,0x7029fa758000,0x9007c,000000002cffc64e,1,1.93355E+13,1930696
1752,pipewire-pulse,0x7029fa759000,0x696bb,000000002cffc64e,2,1.93355E+13,1931622
1752,pipewire-pulse,0x7029fa75a000,0x91fdb,000000002cffc64e,3,1.93355E+13,1932589
1752,pipewire-pulse,0x7029fa75b000,0x5caba,000000002cffc64e,4,1.93355E+13,1933668
1752,pipewire-pulse,0x7029fa75c000,0x909cb,000000002cffc64e,5,1.93355E+13,1934765
1752,pipewire-pulse,0x7029fa75d000,0x81653,000000002cffc64e,6,1.93355E+13,1936132
1752,pipewire-pulse,0x7029fa75e000,0xa30f3,000000002cffc64e,7,1.93355E+13,1937062
1752,pipewire-pulse,0x7029fa775000,0xc5616,000000005dbf2d05,0,1.94029E+13,1539514
1752,pipewire-pulse,0x7029fa776000,0xc5615,000000005dbf2d05,1,1.94029E+13,1546745
1752,pipewire-pulse,0x7029fa777000,0xc5614,000000005dbf2d05,2,1.94029E+13,1548549
1752,pipewire-pulse,0x7029fa778000,0xc5613,000000005dbf2d05,3,1.94029E+13,1550066
1752,pipewire-pulse,0x7029fa779000,0xc5611,000000005dbf2d05,4,1.94029E+13,1551656
1752,pipewire-pulse,0x7029fa77a000,0xc5633,000000005dbf2d05,5,1.94029E+13,1553137
1752,pipewire-pulse,0x7029fa77b000,0xc5632,000000005dbf2d05,6,1.94029E+13,1554624
1752,pipewire-pulse,0x7029fa77c000,0xc5631,000000005dbf2d05,7,1.94029E+13,1556258
1752,pipewire-pulse,0x7029fa76c000,0x7403d,000000002f1f0cdb,0,1.94029E+13,1825556
1752,pipewire-pulse,0x7029fa76d000,0xb29f5,000000002f1f0cdb,1,1.94029E+13,1828874
1752,pipewire-pulse,0x7029fa76e000,0xb29e1,000000002f1f0cdb,2,1.94029E+13,1830508
1752,pipewire-pulse,0x7029fa76f000,0xb29fd,000000002f1f0cdb,3,1.94029E+13,1831277
1752,pipewire-pulse,0x7029fa771000,0xc5609,000000002f1f0cdb,5,1.94029E+13,1832760
1752,pipewire-pulse,0x7029fa772000,0xb29ed,000000002f1f0cdb,6,1.94029E+13,1833521
1752,pipewire-pulse,0x7029fa773000,0xb29f3,000000002f1f0cdb,7,1.94029E+13,1834226
1752,pipewire-pulse,0x7029fa775000,0xc5622,000000001d31c8a5,0,1.94041E+13,10833321
1752,pipewire-pulse,0x7029fa776000,0xc5621,000000001d31c8a5,1,1.94041E+13,10834975
1752,pipewire-pulse,0x7029fa777000,0xc5620,000000001d31c8a5,2,1.94041E+13,10835893
1752,pipewire-pulse,0x7029fa778000,0xc561f,000000001d31c8a5,3,1.94041E+13,10836943
3074,firefox,0x75641e831000,0x355fb,000000008bbe964b,10,8.073E+12,153396
3074,firefox,0x75641e831000,0x10afd6,000000008bbe964b,10,8.09983E+12,987700
3074,firefox,0x75643329a000,0x12b24b,00000000fb79b51f,347,8.11202E+12,93630
3074,firefox,0x75641a07b000,0x123249,00000000953423f4,13,8.1261E+12,918699
3074,firefox,0x75641a082000,0x123249,00000000953423f4,13,8.1261E+12,91397
3074,firefox,0x75641a086000,0x123249,00000000953423f4,13,8.12611E+12,71614
3074,firefox,0x75641a091000,0xcbfd1,00000000953423f4,33,8.12611E+12,904222
3074,firefox,0x75641a09f000,0xcbfd1,00000000953423f4,33,8.12611E+12,208403
3074,firefox,0x75641a0b0000,0x10f8cb,00000000953423f4,66,8.12611E+12,1371472
3074,firefox,0x75641a097000,0x88206,00000000953423f4,36,8.12611E+12,102978
3074,firefox,0x75641a0b3000,0x10f8cb,00000000953423f4,66,8.12611E+12,2848001
3074,firefox,0x75641a09b000,0x88206,00000000953423f4,36,8.12611E+12,10238614
3074,firefox,0x75641a0b2000,0x10f8cb,00000000953423f4,66,8.12615E+12,1013025
3074,firefox,0x75641a0b5000,0x10f8cb,00000000953423f4,66,8.12617E+12,88355
3074,firefox,0x75641a08d000,0x123249,00000000953423f4,13,8.12619E+12,114669
3074,firefox,0x75643329a000,0x10f393,00000000fb79b51f,347,8.17952E+12,95125
3074,firefox,0x75641a07e000,0x12de70,00000000953423f4,7,8.19202E+12,71552
3074,firefox,0x75641a080000,0x12de70,00000000953423f4,7,8.19202E+12,68616
3074,firefox,0x75641a096000,0x127684,00000000953423f4,33,8.19202E+12,68637
3074,firefox,0x75641a07f000,0x12de70,00000000953423f4,7,8.19202E+12,687299
3074,firefox,0x75641a0a8000,0x12d6d4,00000000953423f4,43,8.19203E+12,1071321
3074,firefox,0x75641a092000,0x127684,00000000953423f4,33,8.19203E+12,691118
3074,firefox,0x75641a0a5000,0x13099b,00000000953423f4,45,8.19203E+12,1055411
3074,firefox,0x75641a0a0000,0x13099b,00000000953423f4,45,8.19203E+12,1718610
3074,firefox,0x75641e831000,0x12afb0,000000008bbe964b,10,8.19734E+12,151366
